Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
AL,Air Lease Corporation Class A Common Stock,United States,2011,NYSE,AL
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,NYSE,AL.A
ALB,Albemarle Corporation Common Stock,United States,,NYSE,ALB
ALC,Alcon Inc. Ordinary Shares,Switzerland,2019,NYSE,ALC
ALCC,AltC Acquisition Corp. Class A Common Stock,,2021,NYSE,ALCC
ALE,Allete Inc.,United States,,NYSE,ALE
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,,NYSE,ALEX
ALG,Alamo Group Inc. Common Stock,United States,,NYSE,ALG
ALIN^A,Altera Infrastructure L.P. 7.25% Series A ,Bermuda,,NYSE,ALIN.A
ALIN^B,Altera Infrastructure L.P. 8.50% Series B ,Bermuda,,NYSE,ALIN.B
ALIN^E,Altera Infrastructure L.P. 8.875% Series E ,Bermuda,,NYSE,ALIN.E
ALIT,Alight Inc. Class A Common Stock,,2021,NYSE,ALIT
ALK,Alaska Air Group Inc. Common Stock,United States,,NYSE,ALK
ALL,Allstate Corporation (The) Common Stock,United States,,NYSE,ALL
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,United States,,NYSE,ALL.B
ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,United States,,NYSE,ALL.G
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,United States,,NYSE,ALL.H
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,United States,,NYSE,ALL.I
ALLE,Allegion plc Ordinary Shares,United States,2013,NYSE,ALLE
ALLY,Ally Financial Inc. Common Stock,United States,2014,NYSE,ALLY
ALLY^A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,United States,,NYSE,ALLY.A
ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),United States,,NYSE,ALP.Q
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,2012,NYSE,ALSN
ALTG,Alta Equipment Group Inc. Class A Common Stock,,2019,NYSE,ALTG
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),,,NYSE,ALTG.A
ALV,Autoliv Inc. Common Stock,Sweden,,NYSE,ALV
ALX,Alexander's Inc. Common Stock,United States,,NYSE,ALX
AM,Antero Midstream Corporation Common Stock,United States,2017,NYSE,AM
AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),,2021,NYSE,AMAM
AMBC,Ambac Financial Group Inc. Common Stock,United States,,NYSE,AMBC
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,,2013,NYSE,AMC
AMCR,Amcor plc Ordinary Shares,,2019,NYSE,AMCR
AME,AMETEK Inc.,United States,,NYSE,AME
AMG,Affiliated Managers Group Inc. Common Stock,United States,,NYSE,AMG
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,,2013,NYSE,AMH
AMH^F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,,,NYSE,AMH.F
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,,,NYSE,AMH.G
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,,,NYSE,AMH.H
AMK,AssetMark Financial Holdings Inc. Common Stock,United States,2019,NYSE,AMK
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,United States,,NYSE,AMN
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,Mexico,,NYSE,AMOV
AMP,Ameriprise Financial Inc. Common Stock,United States,,NYSE,AMP
AMPI,Advanced Merger Partners Inc. Class A Common Stock,,2021,NYSE,AMPI
AMPY,Amplify Energy Corp. Common Stock,United States,2016,NYSE,AMPY
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States,2018,NYSE,AMR
AMRC,Ameresco Inc. Class A Common Stock,United States,2010,NYSE,AMRC
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,,2018,NYSE,AMRX
