Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
ALTU,Altitude Acquisition Corp. Class A Common Stock,United States,2021,NASDAQ,ALTU
ALTUU,Altitude Acquisition Corp. Unit,United States,2020,NASDAQ,ALTUU
ALTUW,Altitude Acquisition Corp. Warrant,United States,2021,NASDAQ,ALTUW
ALVR,AlloVir Inc. Common Stock,United States,2020,NASDAQ,ALVR
ALXN,Alexion Pharmaceuticals Inc. Common Stock,United States,1996,NASDAQ,ALXN
ALXO,ALX Oncology Holdings Inc. Common Stock,United States,2020,NASDAQ,ALXO
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,Canada,,NASDAQ,ALYA
ALZN,Alzamend Neuro Inc. Common Stock,United States,2021,NASDAQ,ALZN
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States,2018,NASDAQ,AMAL
AMAO,American Acquisition Opportunity Inc. Class A Common Stock,United States,2021,NASDAQ,AMAO
AMAOU,American Acquisition Opportunity Inc. Units,United States,2021,NASDAQ,AMAOU
AMAOW,American Acquisition Opportunity Inc. Warrant,United States,2021,NASDAQ,AMAOW
AMAT,Applied Materials Inc. Common Stock,United States,1972,NASDAQ,AMAT
AMBA,Ambarella Inc. Ordinary Shares,United States,2012,NASDAQ,AMBA
AMCX,AMC Networks Inc. Class A Common Stock,United States,,NASDAQ,AMCX
AMD,Advanced Micro Devices Inc. Common Stock,United States,,NASDAQ,AMD
AMED,Amedisys Inc Common Stock,United States,,NASDAQ,AMED
AMEH,Apollo Medical Holdings Inc. Common Stock,United States,,NASDAQ,AMEH
AMGN,Amgen Inc. Common Stock,United States,1983,NASDAQ,AMGN
AMHC,Amplitude Healthcare Acquisition Corporation Class A Common Stock,United States,1991,NASDAQ,AMHC
AMHCU,Amplitude Healthcare Acquisition Corporation Unit,United States,2019,NASDAQ,AMHCU
AMHCW,Amplitude Healthcare Acquisition Corporation Warrants,United States,2020,NASDAQ,AMHCW
AMKR,Amkor Technology Inc. Common Stock,United States,1998,NASDAQ,AMKR
AMNB,American National Bankshares Inc. Common Stock,United States,,NASDAQ,AMNB
AMOT,Allied Motion Technologies Inc.,United States,,NASDAQ,AMOT
AMPG,Amplitech Group Inc. Common Stock,United States,,NASDAQ,AMPG
AMPGW,Amplitech Group Inc. Warrants,United States,,NASDAQ,AMPGW
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States,2014,NASDAQ,AMPH
AMRB,American River Bankshares Common Stock,United States,,NASDAQ,AMRB
AMRK,A-Mark Precious Metals Inc. Common Stock,United States,,NASDAQ,AMRK
AMRN,Amarin Corporation plc,Ireland,,NASDAQ,AMRN
AMRS,Amyris Inc. Common Stock,United States,2010,NASDAQ,AMRS
AMSC,American Superconductor Corporation Common Stock,United States,1991,NASDAQ,AMSC
AMSF,AMERISAFE Inc. Common Stock,United States,2005,NASDAQ,AMSF
AMST,Amesite Inc. Common Stock,United States,2020,NASDAQ,AMST
AMSWA,American Software Inc. Class A Common Stock,United States,,NASDAQ,AMSWA
AMTB,Amerant Bancorp Inc. Class A Common Stock,United States,,NASDAQ,AMTB
AMTBB,Amerant Bancorp Inc. Class B Common Stock,United States,,NASDAQ,AMTBB
AMTI,Applied Molecular Transport Inc. Common Stock,United States,2020,NASDAQ,AMTI
AMTX,Aemetis Inc. Common Stock,United States,,NASDAQ,AMTX
AMWD,American Woodmark Corporation Common Stock,United States,1986,NASDAQ,AMWD
AMYT,Amryt Pharma plc American Depositary Shares,United Kingdom,,NASDAQ,AMYT
AMZN,Amazon.com Inc. Common Stock,United States,1997,NASDAQ,AMZN
ANAB,AnaptysBio Inc. Common Stock,United States,2017,NASDAQ,ANAB
ANAT,American National Group Inc. Common Stock,United States,,NASDAQ,ANAT
ANDA,Andina Acquisition Corp. III Ordinary Shares,United States,2019,NASDAQ,ANDA
ANDAR,Andina Acquisition Corp. III Right,United States,2019,NASDAQ,ANDAR
ANDAU,Andina Acquisition Corp. III Unit,United States,2019,NASDAQ,ANDAU
ANDAW,Andina Acquisition Corp. III Warrant,United States,2019,NASDAQ,ANDAW
ANDE,Andersons Inc. (The) Common Stock,United States,,NASDAQ,ANDE
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,United States,2021,NASDAQ,ANEB
ANGI,Angi Inc. Class A Common Stock,United States,,NASDAQ,ANGI
ANGN,Angion Biomedica Corp. Common Stock,United States,2021,NASDAQ,ANGN
ANGO,AngioDynamics Inc. Common Stock,United States,2004,NASDAQ,ANGO
ANIK,Anika Therapeutics Inc. Common Stock,United States,,NASDAQ,ANIK
ANIP,ANI Pharmaceuticals Inc.,United States,,NASDAQ,ANIP
ANIX,Anixa Biosciences Inc. Common Stock,United States,,NASDAQ,ANIX
ANNX,Annexon Inc. Common Stock,United States,2020,NASDAQ,ANNX
ANPC,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares,China,2020,NASDAQ,ANPC
ANSS,ANSYS Inc. Common Stock,United States,1996,NASDAQ,ANSS
ANTE,AirNet Technology Inc. American Depositary Shares,China,,NASDAQ,ANTE
ANY,Sphere 3D Corp. Common Shares,Canada,,NASDAQ,ANY
ANZU,Anzu Special Acquisition Corp I Class A Common Stock,United States,2021,NASDAQ,ANZU
ANZUU,Anzu Special Acquisition Corp I Units,United States,2021,NASDAQ,ANZUU
ANZUW,Anzu Special Acquisition Corp I Warrant,United States,2021,NASDAQ,ANZUW
AOSL,Alpha and Omega Semiconductor Limited Common Shares,Bermuda,2010,NASDAQ,AOSL
AOUT,American Outdoor Brands Inc. Common Stock ,United States,,NASDAQ,AOUT
APA,APA Corporation Common Stock,United States,,NASDAQ,APA
APACU,StoneBridge Acquisition Corporation Unit,United States,2021,NASDAQ,APACU
APDN,Applied DNA Sciences Inc. Common Stock,United States,,NASDAQ,APDN
APEI,American Public Education Inc. Common Stock,United States,2007,NASDAQ,APEI
APEN,Apollo Endosurgery Inc. Common Stock,United States,,NASDAQ,APEN
API,Agora Inc. American Depositary Shares,China,2020,NASDAQ,API
APLS,Apellis Pharmaceuticals Inc. Common Stock,United States,2017,NASDAQ,APLS
APLT,Applied Therapeutics Inc. Common Stock,United States,2019,NASDAQ,APLT
APM,Aptorum Group Limited Class A Ordinary Shares,Hong Kong,2018,NASDAQ,APM
APOG,Apogee Enterprises Inc. Common Stock,United States,,NASDAQ,APOG
APOP,Cellect Biotechnology Ltd. American Depositary Shares,Israel,2016,NASDAQ,APOP
APOPW,Cellect Biotechnology Ltd. Warrants to Purchase ADRs,Israel,2016,NASDAQ,APOPW
APP,Applovin Corporation Class A Common Stock,United States,2021,NASDAQ,APP
APPF,AppFolio Inc. Class A Common Stock,United States,2015,NASDAQ,APPF
APPH,AppHarvest Inc. Common Stock,United States,2020,NASDAQ,APPH
APPHW,AppHarvest Inc. Warrants,United States,2020,NASDAQ,APPHW
APPN,Appian Corporation Class A Common Stock,United States,2017,NASDAQ,APPN
APPS,Digital Turbine Inc. Common Stock,United States,,NASDAQ,APPS
APR,Apria Inc. Common Stock,United States,2021,NASDAQ,APR
APRE,Aprea Therapeutics Inc. Common stock,United States,2019,NASDAQ,APRE
APTO,Aptose Biosciences Inc. Common Shares,Canada,,NASDAQ,APTO
APTX,Aptinyx Inc. Common Stock,United States,2018,NASDAQ,APTX
APVO,Aptevo Therapeutics Inc. Common Stock,United States,,NASDAQ,APVO
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),Taiwan,,NASDAQ,APWC
APYX,Apyx Medical Corporation Common Stock,United States,,NASDAQ,APYX
AQB,AquaBounty Technologies Inc. Common Stock,United States,,NASDAQ,AQB
AQMS,Aqua Metals Inc. Common Stock,United States,2015,NASDAQ,AQMS
AQST,Aquestive Therapeutics Inc. Common Stock,United States,2018,NASDAQ,AQST
ARAV,Aravive Inc. Common Stock,United States,2014,NASDAQ,ARAV
ARAY,Accuray Incorporated Common Stock,United States,2007,NASDAQ,ARAY
