Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
MTA,Metalla Royalty & Streaming Ltd. Common Shares,,,AMEX,MTA
MTNB,Matinas Biopharma Holdings Inc. Common Stock,United States,2017,AMEX,MTNB
MXC,Mexco Energy Corporation Common Stock,United States,,AMEX,MXC
MYO,Myomo Inc. Common Stock,United States,2017,AMEX,MYO
NAK,Northern Dynasty Minerals Ltd. Common Stock,Canada,,AMEX,NAK
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,United States,,AMEX,NAVB
NBA,New Beginnings Acquisition Corp. Common Stock,,2020,AMEX,NBA
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,United States,2002,AMEX,NBH
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,United States,2002,AMEX,NBO
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,United States,2002,AMEX,NBW
NBY,NovaBay Pharmaceuticals Inc. Common Stock,United States,2007,AMEX,NBY
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,United States,,AMEX,NEN
NES,Nuverra Environmental Solutions Inc. Common Stock,United States,2017,AMEX,NES
NEWP,New Pacific Metals Corp. Common Shares,,2021,AMEX,NEWP
NG,Novagold Resources Inc.,Canada,,AMEX,NG
NGD,New Gold Inc.,Canada,,AMEX,NGD
NHC,National HealthCare Corporation Common Stock,United States,,AMEX,NHC
NHS,Neuberger Berman High Yield Strategies Fund,United States,,AMEX,NHS
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,,2013,AMEX,NML
NNVC,NanoViricides Inc. Common Stock,United States,,AMEX,NNVC
NOG,Northern Oil and Gas Inc. Common Stock,United States,,AMEX,NOG
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,United States,2003,AMEX,NRO
NTIP,Network-1 Technologies Inc. Common Stock,United States,,AMEX,NTIP
NXE,Nexgen Energy Ltd. Common Shares,,,AMEX,NXE
OGEN,Oragenics Inc. Common Stock,United States,,AMEX,OGEN
OPTT,Ocean Power Technologies Inc. Common Stock,United States,2007,AMEX,OPTT
ORLA,Orla Mining Ltd. Common Shares,,2020,AMEX,ORLA
