Symbol,Name,Country,IPO Date,Exchange,Cleaned Symbol
LMC,Leagold Mining Corp,,1996,TSX,LMC
EGLX,Enthusiast Gaming Holdings Inc,,1900,TSX,EGLX
WEF,Western Forest Products Inc,,2004,TSX,WEF
TOG,TORC Oil & Gas Ltd,,2001,TSX,TOG
ROXG,Roxgold Inc.,,1900,TSX,ROXG
HUT,Hut 8 Mining Corp.,,1900,TSX,HUT
PG,Premier Gold Mines Limited,,2006,TSX,PG
MRG-UN,MORGUARD NORTH AMERICAN RESIDENTIA,,2013,TSX,MRG.UN
CHR,Chorus Aviation Inc,,2011,TSX,CHR
EFX,Enerflex Ltd,,2011,TSX,EFX
FEC,Frontera Energy Corporation,,2015,TSX,FEC
ALS,Altius Minerals Corporation,,1997,TSX,ALS
TNT-UN,True North Commercial Real Estate,,2012,TSX,TNT.UN
PSI,Pason Systems Inc,,1997,TSX,PSI
ABT,Absolute Software Corporation,,2000,TSX,ABT
MDI,Major Drilling Group International Inc,,1996,TSX,MDI
GUD,Knight Therapeutics Inc,,2014,TSX,GUD
HRX,Héroux-Devtek Inc,,1996,TSX,HRX
AFN,Ag Growth International Inc,,2009,TSX,AFN
TCW,Trican Well Service Ltd,,1997,TSX,TCW
III,Imperial Metals Corporation,,2002,TSX,III
UNS,Uni-Select Inc,,1996,TSX,UNS
MAL,Magellan Aerospace Corporation,,1996,TSX,MAL
AT,AcuityAds Holdings Inc,,1900,TSX,AT
NEO,Neo Performance Materials Inc,,2017,TSX,NEO
RSI,Rogers Sugar Inc,,1998,TSX,RSI
SBB,Sabina Gold & Silver Corp,,1996,TSX,SBB
SMT,Sierra Metals Inc,,1996,TSX,SMT
CXB,Calibre Mining Corp.,,1900,TSX,CXB
TKO,Taseko Mines Limited,,1996,TSX,TKO
CNE,Canacol Energy Ltd,,1996,TSX,CNE
CWEB,Charlottes Web Hldgs Inc,,2019,TSX,CWEB
AW-UN,A&W Revenue Fd Uts,,2002,TSX,AW.UN
LMNL,Liminal BioSciences Inc.,,1900,TSX,LMNL
KEL,Kelt Exploration Ltd,,2013,TSX,KEL
CLR,Clearwater Seafoods Incorporated,,2002,TSX,CLR
AGF-B,AGF Management Limited,,1999,TSX,AGF.B
PD,Precision Drilling Corporation,,2006,TSX,PD
CSW-A,Corby Spirit And Wine Ltd Voting C,,1980,TSX,CSW.A
MOGO,Mogo Finance Technology Inc.,,1900,TSX,MOGO
DRT,DIRTT Environmental Solutions Ltd,,2013,TSX,DRT
DII-B,DOREL INDUSTRIES SUBORDINATE VOTIN,,1991,TSX,DII.B
KBL,K-Bro Linen Inc,,2005,TSX,KBL
FC,Firm Capital Mortgage Investment Corporation,,2003,TSX,FC
MKP,MCAN Mortgage Corporation,,1996,TSX,MKP
CFX,Canfor Pulp Products Inc,,2006,TSX,CFX
WJX,Wajax Corporation,,2005,TSX,WJX
PLZ-UN,PLAZA RETAIL REIT UNITS,,1999,TSX,PLZ.UN
GCM,Gran Colombia Gold Corp,,1983,TSX,GCM
HLF,High Liner Foods Incorporated,,1999,TSX,HLF
AOT,Ascot Resources Ltd.,,1900,TSX,AOT
MRD,Melcor Developments Ltd,,1996,TSX,MRD
AIM,Aimia Inc,,2005,TSX,AIM
AD,Alaris Royalty Corp,,2009,TSX,AD
BDT,Bird Construction Inc,,2006,TSX,BDT
ATH,Athabasca Oil Corporation,,2010,TSX,ATH
EXF,Exfo Inc,,1900,TSX,EXF
XTC,Exco Technologies Limited,,1996,TSX,XTC
POM,PolyMet Mining,,1900,TSX,POM
MRT-UN,MORGUARD REAL ESTATE INVESTMENT TR,,2000,TSX,MRT.UN
CJ,Cardinal Energy Ltd,,2013,TSX,CJ
WM,Wallbridge Mining Company Ltd,,2000,TSX,WM
CEU,CES Energy Solutions Corp,,2006,TSX,CEU
PRN,Profound Medical Corp.,,1900,TSX,PRN
TH,Theratechnologies Inc,,1999,TSX,TH
GLO,Global Atomic Corporation,,1900,TSX,GLO
AXU,Alexco Resource Corp,,1900,TSX,AXU
CMG,Computer Modelling Group Ltd,,1997,TSX,CMG
HNL,Horizon North Logistics Inc,,2006,TSX,HNL
CRH,CRH Medical Corporation,,2003,TSX,CRH
SOT-UN,SLATE OFFICE REAL ESTATE INVESTMEN,,2006,TSX,SOT.UN
SCL,Shawcor Ltd,,2004,TSX,SCL
AKG,Asanko Gold Inc,,2005,TSX,AKG
PZA,Pizza Pizza Royalty Corp,,2005,TSX,PZA
AUG,Auryn Resources Inc.,,1900,TSX,AUG
FAF,Fire & Flower Holdings Corp.,,1900,TSX,FAF
GSC,Golden Star Resources Ltd,,1995,TSX,GSC
VMD,Viemed Healthcare Inc,,2017,TSX,VMD
LUC,Lucara Diamond Corp,,2018,TSX,LUC
BU,Burcon NutraScience Corporation,,1900,TSX,BU
ATP,Atlantic Power Corporation,,2004,TSX,ATP
GUY,Guyana Goldfields Inc,,2004,TSX,GUY
WRN,Western Copper And Gold Corporation,,1900,TSX,WRN
ALYA,Alithya Group Inc. - Class A,,1900,TSX,ALYA
CR,Crew Energy Inc,,2003,TSX,CR
BPF-UN,Boston Pizza TU,,2002,TSX,BPF.UN
TMR,Tmac Resources Inc,,2015,TSX,TMR
GTE,Gran Tierra Energy Inc,,2008,TSX,GTE
ESI,Ensign Energy Services Inc,,1996,TSX,ESI
OBE,Obsidian Energy Ltd,,1999,TSX,OBE
FF,First Mining Gold Corp.,,1900,TSX,FF
RIV,Canopy Rivers,,1900,TSX,RIV
QTRH,Quarterhill Inc,,1900,TSX,QTRH
